fuel_type,body_type,km_driven,city,brand,transmission_type,no_of_owner,seats,manufacture_year,registration_year,model_year,price
Petrol,Hatchback,10000,bangalore,Hyundai,Manual,1,5,2021,2021,2021,919999.9999999999
Petrol,Sedan,49873,bangalore,Honda,Manual,1,5,2013,2013,2013,533000.0
Petrol,Hatchback,90000,bangalore,Volkswagen,Automatic,3,5,2013,2013,2013,850000.0
Diesel,Sedan,48960,bangalore,Skoda,Manual,2,5,2017,2017,2017,751000.0
Diesel,Hatchback,70000,bangalore,Hyundai,Manual,2,5,2014,2014,2014,388000.0
Petrol,Hatchback,68000,bangalore,Hyundai,Manual,2,5,2013,2013,2013,490000.00000000006
Diesel,SUV,23017,bangalore,Mahindra,Manual,1,6,2016,2016,2016,494000.00000000006
Diesel,Hatchback,83000,bangalore,Hyundai,Manual,2,5,2013,2014,2013,525000.0
Diesel,SUV,92000,bangalore,BMW,Automatic,2,5,2016,2016,2016,2890000.0
Petrol,Hatchback,62139,bangalore,Maruti,Manual,1,5,2018,2018,2018,550000.0
Lpg,Hatchback,74000,bangalore,Hyundai,Manual,1,5,2013,2013,2013,365000.0
Petrol,Hatchback,26500,bangalore,Renault,Automatic,2,5,2016,2016,2016,420000.0
Diesel,Sedan,81716,bangalore,Volvo,Automatic,1,5,2017,2017,2017,1895000.0
Diesel,Sedan,24000,bangalore,Mercedes-Benz,Automatic,2,5,2018,2018,2018,5990000.0
Petrol,SUV,10000,bangalore,Mahindra,Automatic,1,5,2022,2022,2022,1050000.0
Petrol,SUV,18000,bangalore,MG,Automatic,1,6,2021,2021,2021,2075000.0
Petrol,Hatchback,38197,bangalore,Honda,Manual,1,5,2013,2013,2013,394000.0
Petrol,Hatchback,23000,bangalore,Maruti,Automatic,2,5,2017,2017,2017,725000.0
Petrol,Hatchback,50000,bangalore,Maruti,Manual,1,5,2013,2013,2013,240000.0
Petrol,SUV,10000,bangalore,Renault,Automatic,1,5,2022,2022,2022,835000.0
Petrol,Hatchback,19000,bangalore,Hyundai,Manual,1,5,2019,2019,2019,695000.0
Petrol,SUV,14000,bangalore,Kia,Automatic,1,5,2020,2020,2020,1725000.0
Petrol,Hatchback,29268,bangalore,Hyundai,Manual,1,5,2014,2014,2014,330000.0
Petrol,Sedan,20000,bangalore,Volkswagen,Automatic,1,5,2019,2019,2019,990000.0
Petrol,Sedan,30000,bangalore,Toyota,Manual,1,5,2018,2018,2018,750000.0
Petrol,Hatchback,64374,bangalore,Honda,Automatic,1,5,2018,2018,2018,755000.0
Diesel,SUV,30000,bangalore,MG,Manual,1,5,2021,2021,2021,1750000.0
Petrol,SUV,7100,bangalore,Hyundai,Automatic,1,6,2022,2022,2022,2082999.9999999998
Petrol,Hatchback,43679,bangalore,Hyundai,Manual,1,5,2010,2010,2010,271000.0
Petrol,SUV,40000,bangalore,Hyundai,Automatic,1,5,2018,2018,2018,1280000.0
Diesel,Hatchback,40562,bangalore,Hyundai,Manual,1,5,2012,2012,2012,436000.00000000006
Petrol,SUV,26500,bangalore,Hyundai,Automatic,2,5,2021,2021,2021,1675000.0
Diesel,SUV,58600,bangalore,Mahindra,Automatic,1,7,2016,2016,2016,1350000.0
Petrol,SUV,20000,bangalore,Hyundai,Automatic,1,5,2019,2019,2019,1250000.0
Petrol,SUV,42050,bangalore,Volkswagen,Automatic,1,5,2020,2020,2020,2225000.0
Petrol,Hatchback,65017,bangalore,Maruti,Automatic,1,5,2015,2016,2015,475000.0
Diesel,Sedan,80000,bangalore,BMW,Automatic,2,5,2008,2008,2008,600000.0
Petrol,SUV,30000,bangalore,Jeep,Automatic,1,5,2021,2021,2021,2450000.0
Petrol,SUV,20000,bangalore,Kia,Automatic,1,5,2020,2020,2020,1625000.0
Diesel,Sedan,36349,bangalore,Skoda,Automatic,1,5,2014,2014,2014,1650000.0
Petrol,Hatchback,80000,bangalore,Hyundai,Manual,3,5,2009,2009,2009,249000.00000000003
Petrol,SUV,83394,bangalore,Renault,Manual,2,5,2014,2014,2014,630000.0
Diesel,SUV,30000,bangalore,Audi,Automatic,2,5,2016,2016,2016,2599000.0
Petrol,Hatchback,80000,bangalore,Hyundai,Manual,3,5,2009,2009,2009,249000.00000000003
Petrol,Hatchback,52204,bangalore,Maruti,Manual,1,5,2017,2017,2017,385000.0
Petrol,Hatchback,110000,bangalore,Hyundai,Manual,3,5,2012,2012,2012,300000.0
Diesel,SUV,89000,bangalore,Ford,Automatic,1,7,2017,2017,2017,2975000.0
Petrol,Hatchback,29813,bangalore,Maruti,Manual,2,5,2014,2014,2014,276000.0
Petrol,Hatchback,30000,bangalore,Ford,Manual,1,5,2018,2018,2018,500000.0
Petrol,Hatchback,13345,bangalore,Maruti,Automatic,1,5,2020,2020,2020,730000.0
Diesel,SUV,17100,bangalore,Hyundai,Automatic,1,7,2022,2022,2022,2245000.0
Petrol,Hatchback,75000,bangalore,Hyundai,Manual,1,5,2014,2014,2014,399000.0
Petrol,Hatchback,75523,bangalore,Hyundai,Manual,2,5,2011,2011,2011,312000.0
Diesel,SUV,47000,bangalore,Mahindra,Manual,1,7,2015,2015,2015,1275000.0
Diesel,SUV,36500,bangalore,Tata,Manual,1,5,2022,2022,2022,1989999.9999999998
Petrol,MUV,28253,bangalore,Renault,Manual,1,7,2020,2020,2020,719000.0
Diesel,SUV,50000,bangalore,Hyundai,Manual,1,5,2016,2016,2016,1260000.0
Petrol,Hatchback,90000,bangalore,Hyundai,Manual,2,5,2010,2010,2010,300000.0
Diesel,SUV,70000,bangalore,BMW,Automatic,2,5,2016,2016,2016,3981000.0
Petrol,Hatchback,52571,bangalore,Hyundai,Manual,1,5,2016,2016,2016,627000.0
Diesel,Sedan,70000,bangalore,BMW,Automatic,2,5,2010,2010,2010,1300000.0
Petrol,Sedan,61993,bangalore,Honda,Manual,1,5,2015,2015,2015,672000.0
Diesel,SUV,57000,bangalore,Hyundai,Automatic,1,5,2017,2017,2017,1825000.0
Diesel,SUV,80000,bangalore,Toyota,Manual,2,7,2021,2021,2021,3500000.0
Petrol,Hatchback,36359,bangalore,Hyundai,Manual,1,5,2013,2013,2013,440000.00000000006
Diesel,SUV,70000,bangalore,Tata,Manual,2,5,2019,2019,2019,1460000.0
Petrol,SUV,7500,bangalore,MG,Automatic,1,5,2022,2022,2022,2041000.0
Petrol,Sedan,30301,bangalore,Hyundai,Automatic,1,5,2017,2017,2017,1033000.0
Petrol,Hatchback,66000,bangalore,Hyundai,Manual,1,5,2010,2010,2010,275000.0
Petrol,Hatchback,56010,bangalore,Hyundai,Manual,1,5,2017,2017,2017,676000.0
Diesel,SUV,47000,bangalore,Mercedes-Benz,Automatic,1,5,2017,2017,2017,4290000.0
Diesel,SUV,60000,bangalore,Nissan,Manual,2,5,2014,2014,2014,650000.0
Diesel,Hatchback,83829,bangalore,Maruti,Manual,1,5,2014,2014,2014,444000.00000000006
Petrol,Hatchback,10000,bangalore,Renault,Automatic,1,5,2020,2020,2020,509999.99999999994
Diesel,SUV,35000,bangalore,Renault,Automatic,2,5,2016,2016,2016,925000.0
Petrol,Sedan,51116,bangalore,Honda,Automatic,2,5,2019,2020,2019,1024000.0
Diesel,Sedan,80000,bangalore,Skoda,Manual,3,5,2016,2016,2016,500000.0
Petrol,Hatchback,40000,bangalore,Volkswagen,Automatic,2,5,2017,2017,2017,994999.9999999999
Petrol,SUV,85565,bangalore,Honda,Automatic,2,5,2012,2012,2012,935000.0
Petrol,SUV,36916,bangalore,Ford,Manual,1,5,2018,2018,2018,834000.0
Diesel,Hatchback,90000,bangalore,Volkswagen,Manual,1,5,2015,2015,2015,560000.0
Petrol,Hatchback,112795,bangalore,Maruti,Manual,1,5,2012,2012,2012,454000.0
Petrol,Sedan,11000,bangalore,Mercedes-Benz,Automatic,1,5,2021,2021,2021,3690000.0
Petrol,MUV,120000,bangalore,Toyota,Manual,2,7,2014,2014,2014,1100000.0
Petrol,Hatchback,36685,bangalore,Honda,Manual,2,5,2016,2016,2016,462000.0
Diesel,SUV,120000,bangalore,Hyundai,Automatic,2,7,2012,2012,2012,900000.0
Petrol,Sedan,4000,bangalore,BMW,Automatic,1,4,2022,2022,2022,7900000.0
Petrol,Hatchback,32184,bangalore,Maruti,Automatic,2,5,2019,2019,2019,843000.0
Petrol,Hatchback,32279,bangalore,Maruti,Manual,1,5,2018,2019,2018,799000.0
Petrol,Hatchback,59698,bangalore,Hyundai,Manual,1,5,2015,2015,2015,576000.0
Diesel,SUV,46071,bangalore,Renault,Manual,1,5,2018,2018,2018,949000.0
Diesel,SUV,90000,bangalore,Maruti,Manual,1,5,2017,2017,2017,795000.0
Petrol,SUV,9554,bangalore,Hyundai,Manual,1,5,2019,2019,2019,1085000.0
Petrol,SUV,14000,bangalore,Jeep,Automatic,1,5,2022,2022,2022,2590000.0
Diesel,SUV,74499,bangalore,Renault,Manual,2,5,2013,2013,2013,516000.0
Petrol,SUV,56211,bangalore,Ford,Automatic,2,5,2017,2017,2017,777000.0
Petrol,Hatchback,9001,bangalore,Honda,Manual,1,5,2019,2019,2019,753000.0
Diesel,SUV,65457,bangalore,Mahindra,Automatic,2,7,2017,2017,2017,1226000.0
Petrol,Hatchback,23682,bangalore,Honda,Manual,1,5,2017,2017,2017,725000.0
Diesel,Sedan,50000,bangalore,Hyundai,Manual,1,5,2020,2020,2020,1150000.0
Diesel,Hatchback,134557,bangalore,Maruti,Manual,2,5,2015,2015,2015,629000.0
Petrol,Sedan,96567,bangalore,Maruti,Manual,2,5,2013,2013,2013,447000.0
Petrol,Hatchback,120000,bangalore,Maruti,Manual,3,5,2015,2015,2015,400000.0
Diesel,MUV,83007,bangalore,Maruti,Manual,2,7,2014,2015,2014,786000.0
Petrol,Hatchback,34000,bangalore,Honda,Manual,1,5,2018,2018,2018,745000.0
Petrol,Hatchback,81634,bangalore,Hyundai,Automatic,1,5,2014,2014,2014,490000.00000000006
Petrol,Sedan,57284,bangalore,Honda,Automatic,2,5,2017,2017,2017,942000.0
Petrol,SUV,70000,bangalore,Ford,Automatic,2,5,2016,2016,2016,675000.0
Petrol,Hatchback,70000,bangalore,Honda,Manual,2,5,2013,2013,2013,330000.0
Petrol,Sedan,46429,bangalore,Toyota,Automatic,2,5,2018,2018,2018,875000.0
Petrol,Hatchback,17624,bangalore,Maruti,Manual,1,5,2017,2018,2017,869000.0
Diesel,Sedan,100000,bangalore,Volkswagen,Manual,2,5,2012,2012,2012,425000.0
Petrol,Sedan,30000,bangalore,Honda,Manual,1,5,2019,2019,2019,1070000.0
Petrol,SUV,49690,bangalore,Ford,Manual,2,5,2018,2018,2018,1025000.0
Diesel,SUV,110000,bangalore,Mahindra,Manual,1,7,2016,2016,2016,1000000.0
Petrol,Sedan,50000,bangalore,Fiat,Manual,1,5,2009,2009,2009,375000.0
Petrol,SUV,55702,bangalore,Ford,Automatic,1,5,2018,2018,2018,844000.0
Diesel,Hatchback,45046,bangalore,Hyundai,Manual,1,5,2016,2016,2016,764000.0
Petrol,Hatchback,53000,bangalore,Maruti,Manual,2,5,2014,2014,2014,420000.0
Diesel,Hatchback,94695,bangalore,Maruti,Manual,1,5,2016,2016,2016,684000.0
Petrol,Hatchback,22162,bangalore,Maruti,Manual,1,5,2019,2019,2019,802999.9999999999
Petrol,Hatchback,70000,bangalore,Hyundai,Manual,2,5,2010,2010,2010,320000.0
Diesel,Sedan,115331,bangalore,Honda,Manual,1,5,2017,2018,2017,803999.9999999999
Diesel,Sedan,70000,bangalore,Mercedes-Benz,Automatic,2,5,2013,2013,2013,1400000.0
Petrol,Hatchback,42233,bangalore,Maruti,Manual,2,5,2016,2016,2016,548000.0
Petrol,Hatchback,20941,bangalore,Hyundai,Manual,1,5,2019,2019,2019,619000.0
Diesel,SUV,50000,bangalore,Maruti,Manual,2,5,2018,2018,2018,1000000.0
Petrol,SUV,46602,bangalore,Honda,Manual,1,5,2018,2018,2018,865000.0
Diesel,SUV,50000,bangalore,Mahindra Ssangyong,Automatic,2,7,2014,2014,2014,1000000.0
Diesel,Hatchback,104000,bangalore,Maruti,Manual,2,5,2014,2014,2014,535000.0
Diesel,SUV,90000,bangalore,Ford,Manual,1,5,2018,2018,2018,975000.0
Petrol,Hatchback,50035,bangalore,Maruti,Manual,1,5,2017,2017,2017,699000.0
Petrol,SUV,80000,bangalore,Tata,Manual,1,5,2021,2021,2021,1150000.0
Petrol,Hatchback,90000,bangalore,Hyundai,Manual,2,5,2015,2015,2015,625000.0
Diesel,Sedan,90000,bangalore,Mercedes-Benz,Automatic,4,5,2011,2011,2011,1000000.0
Diesel,Sedan,120000,bangalore,Toyota,Manual,1,5,2011,2011,2011,600000.0
Petrol,Sedan,25170,bangalore,Maruti,Manual,1,5,2015,2015,2015,675000.0
Petrol,Sedan,25022,bangalore,Maruti,Manual,1,5,2021,2021,2021,893000.0
Diesel,Hatchback,100000,bangalore,Maruti,Manual,2,5,2012,2012,2012,420000.0
Petrol,Sedan,26367,bangalore,Maruti,Manual,1,5,2020,2020,2020,941000.0
Petrol,Sedan,76567,bangalore,Hyundai,Automatic,2,5,2015,2015,2015,630000.0
Diesel,MUV,120000,bangalore,Toyota,Manual,2,7,2013,2013,2013,1275000.0
Petrol,Hatchback,36459,bangalore,Hyundai,Automatic,2,5,2015,2015,2015,525000.0
Diesel,SUV,93725,bangalore,Maruti,Manual,1,5,2016,2016,2016,750000.0
Petrol,Sedan,115599,bangalore,Maruti,Automatic,2,5,2016,2016,2016,632000.0
Petrol,Sedan,43469,bangalore,Maruti,Manual,1,5,2015,2016,2015,645000.0
Petrol,Sedan,70000,bangalore,Ford,Manual,4,5,2005,2005,2005,500000.0
Diesel,SUV,77000,bangalore,BMW,Automatic,2,5,2019,2019,2019,6795000.0
Diesel,SUV,100000,bangalore,Maruti,Manual,1,5,2018,2018,2018,850000.0
Petrol,Sedan,72000,bangalore,Mitsubishi,Manual,1,5,2008,2008,2008,299000.0
Diesel,Sedan,77000,bangalore,Jaguar,Automatic,1,5,2013,2013,2013,2095000.0
Diesel,SUV,87101,bangalore,Audi,Automatic,1,7,2013,2013,2013,2800000.0
Petrol,Hatchback,40771,bangalore,Volkswagen,Manual,2,5,2021,2021,2021,999000.0
Petrol,Hatchback,28000,bangalore,Honda,Manual,1,5,2018,2018,2018,825000.0
Petrol,Hatchback,40000,bangalore,Maruti,Manual,3,5,2008,2008,2008,250000.0
Petrol,SUV,26000,bangalore,Hyundai,Automatic,1,5,2020,2020,2020,1295000.0
Petrol,Hatchback,76032,bangalore,Maruti,Manual,1,5,2012,2012,2012,329000.0
Petrol,Sedan,113780,bangalore,Maruti,Manual,1,5,2018,2018,2018,666000.0
Diesel,Sedan,24000,bangalore,Audi,Automatic,1,5,2019,2020,2019,2290000.0
Diesel,SUV,65812,bangalore,Hyundai,Manual,2,5,2020,2020,2020,1026000.0
Petrol,SUV,10000,bangalore,Skoda,Automatic,1,5,2022,2022,2022,1700000.0
Petrol,Hatchback,39959,bangalore,Maruti,Manual,1,5,2016,2016,2016,681000.0
Petrol,SUV,10000,bangalore,Hyundai,Automatic,1,7,2022,2022,2022,1689999.9999999998
Petrol,Hatchback,65484,bangalore,Maruti,Manual,3,5,2016,2017,2016,318000.0
Petrol,Hatchback,49174,bangalore,Maruti,Manual,1,5,2017,2017,2017,688000.0
Petrol,SUV,20000,bangalore,Volkswagen,Manual,1,5,2022,2022,2022,1300000.0
Petrol,Hatchback,50000,bangalore,Hyundai,Manual,1,5,2009,2009,2009,265000.0
Petrol,Sedan,40000,bangalore,Maruti,Automatic,2,5,2018,2018,2018,645000.0
Petrol,SUV,30000,bangalore,Hyundai,Automatic,1,7,2022,2022,2022,2000000.0
Petrol,Coupe,50000,bangalore,BMW,Automatic,3,5,2007,2007,2007,900000.0
Petrol,Hatchback,80000,bangalore,Maruti,Manual,1,5,2020,2020,2020,620000.0
Petrol,SUV,20000,bangalore,MG,Manual,1,5,2022,2022,2022,1470000.0
Cng,Sedan,70000,bangalore,Hyundai,Manual,1,5,2010,2010,2010,220000.00000000003
Diesel,Sedan,90000,bangalore,Audi,Automatic,1,5,2014,2014,2014,1475000.0
Petrol,Hatchback,40000,bangalore,Renault,Manual,1,5,2020,2020,2020,415000.00000000006
Petrol,Hatchback,63797,bangalore,Honda,Manual,1,5,2016,2016,2016,610000.0
Petrol,Hatchback,60216,bangalore,Hyundai,Manual,2,5,2018,2018,2018,560000.0
Petrol,Hatchback,10000,bangalore,Maruti,Automatic,2,5,2015,2015,2015,425000.0
Petrol,Hatchback,38153,bangalore,Maruti,Manual,1,5,2016,2016,2016,686000.0
Petrol,Hatchback,76485,bangalore,Maruti,Manual,1,5,2015,2015,2015,517000.0
Petrol,Hatchback,40000,bangalore,Maruti,Manual,2,5,2015,2015,2015,385000.0
Petrol,Hatchback,40623,bangalore,Maruti,Manual,1,5,2016,2016,2016,675000.0
Diesel,Sedan,18000,bangalore,Mercedes-Benz,Automatic,2,5,2018,2018,2018,3300000.0
Petrol,Hatchback,88051,bangalore,Maruti,Manual,1,5,2014,2014,2014,499000.0
Petrol,Hatchback,16522,bangalore,Maruti,Manual,1,5,2022,2022,2022,774000.0
Diesel,SUV,70000,bangalore,Jeep,Manual,2,5,2019,2019,2019,1475000.0
Petrol,Hatchback,80000,bangalore,Maruti,Manual,3,5,2008,2008,2008,240000.0
Diesel,SUV,50000,bangalore,Hyundai,Manual,1,5,2019,2019,2019,1025000.0
Petrol,SUV,10000,bangalore,Tata,Manual,1,5,2023,2023,2023,1400000.0
Petrol,Hatchback,57000,bangalore,Hyundai,Manual,2,5,2013,2013,2013,285000.0
Diesel,SUV,110000,bangalore,Mahindra,Manual,1,7,2016,2016,2016,1000000.0
Petrol,Hatchback,10000,bangalore,Maruti,Manual,1,5,2019,2019,2019,780000.0
Petrol,Hatchback,50000,bangalore,Maruti,Manual,2,5,2012,2012,2012,475000.0
Diesel,SUV,120000,bangalore,Mahindra,Manual,1,5,2019,2019,2019,750000.0
Petrol,Hatchback,35469,bangalore,Hyundai,Manual,1,5,2014,2015,2014,555000.0
Petrol,Hatchback,40073,bangalore,Honda,Manual,2,5,2017,2017,2017,607000.0
Petrol,Hatchback,65730,bangalore,Hyundai,Manual,2,5,2017,2017,2017,513999.99999999994
Petrol,Sedan,120000,bangalore,Maruti,Manual,2,5,2005,2005,2005,250000.0
Petrol,Hatchback,36184,bangalore,Maruti,Manual,2,5,2016,2016,2016,705000.0
Petrol,Hatchback,69310,bangalore,Maruti,Manual,1,5,2016,2016,2016,653000.0
Petrol,Sedan,55643,bangalore,Honda,Automatic,1,5,2015,2015,2015,872000.0000000001
Petrol,Hatchback,62803,bangalore,Hyundai,Automatic,2,5,2017,2017,2017,564000.0
Diesel,Hatchback,90000,bangalore,Volkswagen,Manual,2,5,2011,2011,2011,370000.0
Petrol,Hatchback,68656,bangalore,Maruti,Manual,1,5,2015,2015,2015,550000.0
Petrol,Hatchback,77501,bangalore,Honda,Manual,3,5,2016,2016,2016,517000.0
Petrol,Sedan,40000,bangalore,Maruti,Manual,1,5,2016,2016,2016,620000.0
Petrol,Sedan,48325,bangalore,Honda,Automatic,1,5,2014,2014,2014,750000.0
Petrol,SUV,30000,bangalore,Tata,Manual,1,5,2022,2022,2022,1220000.0
Diesel,Hatchback,100000,bangalore,Mercedes-Benz,Automatic,2,5,2013,2013,2013,1350000.0
Petrol,Hatchback,69000,bangalore,Maruti,Manual,1,5,2015,2015,2015,575000.0
Diesel,SUV,110000,bangalore,Jeep,Manual,1,5,2018,2018,2018,1250000.0
Petrol,Sedan,50000,bangalore,Hyundai,Manual,2,5,2016,2016,2016,868000.0
Diesel,MUV,60000,bangalore,Kia,Automatic,1,8,2020,2020,2020,3000000.0
Petrol,Hatchback,20000,bangalore,Hyundai,Manual,1,5,2021,2021,2021,980000.0000000001
Petrol,Hatchback,14999,bangalore,Maruti,Automatic,1,5,2022,2022,2022,900000.0
Petrol,Hatchback,90773,bangalore,Honda,Manual,2,5,2016,2016,2016,550000.0
Diesel,Sedan,90000,bangalore,Skoda,Manual,1,5,2012,2012,2012,450000.0
Petrol,Hatchback,64917,bangalore,Maruti,Manual,2,5,2017,2017,2017,610000.0
Petrol,Hatchback,70235,bangalore,Honda,Manual,1,5,2017,2017,2017,543000.0
