,ft,bt,km,transmission,ownerNo,oem,model,modelYear,price,Registration Year,Insurance Validity,Fuel Type,Seats,Ownership,Transmission,Year of Manufacture,Mileage,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Turbo Charger,Super Charger,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,City
915,Petrol,Sedan,80000,Manual,1,Ford,Ford Fiesta,2010,190000.0,2010,Third Party insurance,Petrol,5,First Owner,Manual,2010,15.3,1596.0,82bhp@6000rpm,14.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
916,Petrol,Hatchback,90000,Manual,4,Hyundai,Hyundai i10,2010,210000.0,2010,Third Party insurance,Petrol,5,Fourth Owner,Manual,2010,19.81,1086.0,82bhp@6000rpm,99.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
917,Diesel,Hatchback,80000,Manual,1,Maruti,Maruti Swift,2014,480000.0,2014,Third Party insurance,Diesel,5,First Owner,Manual,2014,25.2,1248.0,82bhp@6000rpm,190.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
918,Diesel,Sedan,150000,Manual,2,Hyundai,Hyundai Verna,2012,380000.0,2012,Third Party insurance,Diesel,5,Second Owner,Manual,2012,22.32,1582.0,82bhp@6000rpm,259.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
919,Petrol,SUV,20000,Manual,1,Tata,Tata Nexon,2022,1280000.0,2022,Third Party insurance,Petrol,5,First Owner,Manual,2022,17.57,1199.0,82bhp@6000rpm,170.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
920,Petrol,SUV,43791,Automatic,1,Ford,Ford Ecosport,2016,770000.0,2016,Comprehensive,Petrol,5,First Owner,Automatic,2016,15.63,1499.0,82bhp@6000rpm,140.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
921,Petrol,Hatchback,87660,Automatic,1,Maruti,Maruti Swift,2018,599000.0,2018,Third Party insurance,Petrol,5,First Owner,Automatic,2018,22.56,1197.0,82bhp@6000rpm,113.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
922,Diesel,SUV,90000,Automatic,5,Mahindra,Mahindra XUV500,2016,800000.0,2016,Third Party insurance,Diesel,7,Fifth Owner,Automatic,2016,16.0,2179.0,82bhp@6000rpm,330.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
923,Petrol,Hatchback,71938,Manual,3,Hyundai,Hyundai Santro Xing,2011,231999.99999999997,2011,Comprehensive,Petrol,5,Third Owner,Manual,2011,17.92,1086.0,82bhp@6000rpm,96.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
924,Petrol,Sedan,104938,Manual,2,Hyundai,Hyundai Verna,2013,525000.0,2013,Comprehensive,Petrol,5,Second Owner,Manual,2013,17.01,1591.0,82bhp@6000rpm,154.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
925,Petrol,Sedan,30000,Manual,1,Honda,Honda City,2020,950000.0,2020,Third Party insurance,Petrol,5,First Owner,Manual,2020,17.4,1497.0,82bhp@6000rpm,145.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
